,Reviewer Name,Rating,review name,Date,Verified Purchase,Review Text,Helpful Count
,Donovan,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2019",,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Rachel N.,5.0 out of 5 stars,"4.0 out of 5 stars
  Handy device with good features","Reviewed in the United States on November 10, 2025",No,Love the portability and the automatic pressure setting. The LED light is super helpful at night. Knocked off one star because it takes a while to fully charge. Otherwise very satisfied!,7 people found this helpful
,Rob S,3.0 out of 5 stars,"3.0 out of 5 stars
  Works but has issues","Reviewed in the United States on May 5, 2024",,The inflator works but the hose is a bit short and it gets warm quickly. The digital display is nice. It's good enough for occasional use.,
,Scott Gresko,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2023",,"The device is lightweight, yet it feels incredibly durable.",
,Jacob,5.0 out of 5 stars,,,,It took me just seconds to set the desired pressure level.,
,E. Pichon,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on March 12, 2023",,I use it often to keep my specialized bike tires at high PSI.,
,jack from KS,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2018",,I use it regularly to ensure perfect tire performance.,
,Liz,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on February 20, 2022",,"Worked very well. It is small and compact and easy to charge. I used it to inflate a tire from 14.5 lbs pressure to 36 lbs. Also topped off the three other tires. It is slower than larger pumps but gets the job done. I like the connection to the tire valve. Very little air lost in that process, and it immediately shows the pressure of the tire and you can set how high you want it to go.",
,Kevin,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on May 5, 2024",,The high PSI capability is great for inflating my high-performance tires.,
,Christina,2.0 out of 5 stars,"2.0 out of 5 stars
  Could be better","Reviewed in the United States on September 28, 2020",,It does inflate tires but it's very slow and noisy. The battery indicator isn't accurate either. Somewhat useful but disappointing.,
,Aaron,5.0 out of 5 stars,,,,It works well and is not overly loud during operation.,
,Tyler,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on September 28, 2020",,The battery indicator gives plenty of warning before needing a recharge.,
,Kevin S.,5.0 out of 5 stars,"4.0 out of 5 stars
  Solid performer","Reviewed in the United States on October 28, 2025",Yes,Used this on a road trip and it saved me from a flat tire situation. Inflates quickly and the digital gauge seems accurate. Wish it came with a carrying case. Overall a very good product.,16 people found this helpful
,Sophia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2017",,"I bought one early in summer I loved it helped me out of a lot of flat tires. So my son went hunting ,took a 4wheeler and experienced several low tires so I ordered one for him. Great product I recommend this product.",
,ERCW,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2019",,"The Airmoto Tire Inflator Portable Air Compressor is a handy and efficient solution for keeping your car tires properly inflated, especially when you're on the go. Whether you're on a long road trip or just need a quick top-up after noticing a slow leak, this compact device offers a lot of convenience for such a small package.
 

 Design and Build: The first thing you'll notice about the Airmoto Inflator is its compact and portable design. At just about the size of a water bottle, it’s easy to stash in your car's glove compartment, trunk, or even under the seat without taking up much space. The build feels solid for its size, with a durable plastic exterior that can handle some bumps and scrapes.
 

 Ease of Use: Using the Airmoto is straightforward. It comes with an easy-to-read LED display that shows the current tire pressure and allows you to set your desired pressure. The built-in preset options for various tire types (like car, bike, or ball) make it even more user-friendly. The hose is long enough to reach all four tires without feeling like you’re stretched too thin. There’s also a nice touch with the built-in LED light, making it easier to use at night or in low-light conditions.
 

 Performance: When it comes to performance, the Airmoto Tire Inflator delivers. It has a maximum pressure of 150 PSI, which is more than sufficient for most car tires, bike tires, and other inflatables like balls or air mattresses. Inflation speed is decent – it can take a few minutes to fully inflate a car tire from a low PSI, but it’s efficient enough for emergency situations. It’s not as fast as larger, more powerful compressors, but for a portable, battery-operated device, it’s more than acceptable.
 

 Portability: One of the standout features of the Airmoto is its portability. Unlike many other air compressors that require a car's power outlet, this unit is rechargeable via USB-C, so you can charge it at home or even using a portable power bank. The fact that it doesn’t need to be plugged into your vehicle makes it ideal for situations where you’re away from home or need to top off a tire while parked on the side of the road.
 

 Battery Life: The rechargeable battery is a bit of a mixed bag. While it holds a charge long enough to inflate one or two tires, don’t expect to run through a full set of four tires before needing a recharge. It’s great for quick, emergency use, but you’ll need to plan ahead for longer inflation tasks.
 

 Accuracy and Reliability: The built-in pressure gauge is accurate enough for everyday use, though it may differ slightly from high-end, professional gauges. For the average driver, it provides reliable readings, and the automatic shutoff feature when the desired pressure is reached is a huge plus – no need to worry about over-inflating.
 

 Conclusion: Overall, the Airmoto Tire Inflator is a solid, portable solution for tire inflation in a pinch. It excels in ease of use, portability, and convenience, making it a great addition to your car emergency kit. While it may not replace a full-size air compressor for heavy-duty or frequent use, it’s perfect for the average driver who needs a reliable tool for occasional tire inflation or other inflation tasks.
 

 Pros:
 

 Compact, portable design
 Easy-to-read LED display and preset options
 USB-C rechargeable, no need for a car power outlet
 Built-in LED light for nighttime use
 Accurate pressure readings and automatic shutoff
 Cons:
 

 Slower inflation compared to larger compressors
 Battery life could be improved for multiple tires
 Not as suitable for frequent or heavy-duty use
 Final Verdict: If you're looking for a convenient, easy-to-use air compressor for occasional tire inflation, the Airmoto Tire Inflator is a great choice. Its compact size, ease of use, and portability make it an excellent tool for road trips, emergencies, or everyday maintenance. Just be aware that it’s not designed for heavy, continuous use, but for the casual user, it’s a very practical solution.",
,Scott Gresko,5.0 out of 5 stars,,,,I highly recommend this for older vehicles without advanced TPMS.,
,Anna,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2017",,I was able to adjust the pressure on all four tires instantly.,
,Phillip Farley,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",,"This small compressor is very impressive. It inflated 2 completely flat 235/45-17"" tires and still had 3/4+ battery capacity. I think it can inflate a few completely flat, larger truck tires on a single charge. Easy to use, with connections at either end bring precise (no air leakage).",
,Amazon Customer,5.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on May 5, 2023",,his gadget is a game-changer for regular tire maintenance.,
,Ashley,3.0 out of 5 stars,"3.0 out of 5 stars
  Decent but not great","Reviewed in the United States on February 20, 2022",,It gets the job done but it's not the fastest. Battery life is acceptable. Good to have in the car for emergencies but I wouldn't rely on it exclusively.,
,TJM,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2021",,I was always needing to go out air in my tires. That part I didn’t mind. But as years go by less gas stations have air pumps. The ones that do want $2 each time. So I decided to buy one. I absolutely love it. It’s so easy to use. I keep it charged and in my car. If you struggle with places to get air. This is the best,
,Perrocafe,5.0 out of 5 stars,,,,I highly recommend this for older vehicles without advanced TPMS.,
,Justin,5.0 out of 5 stars,,,,"Review PROS: Focus is on the amount of air being moved versus battery capacity. It added 3 PSI to all 4 of my my P235/55R19 tires for my hybrid Tucson in about 6 - 7 minutes total as the airflow is a fast 35 LPM. It has a nice long air hose that is almost 20 inches and it is the screw type Schrader valve which I've been looking for. I have large hands and I am a Sr. Citizen. By the time I find the Schrader valve on the tire it's buried inside the fancy wheel rims that come with the SUV. So I prefer the screw on type as I lose less air than I do with the clip on type. I am not enamored with the clip on type which is using a plastic lock and I really question how long that will work and not break. This is why I bought this model versus the newer model that actually has 45LPM and it comes with a storage case for the same price as I paid for this model. The manufacturer claims 40 minutes continuous battery use which is more than enough to fill ~ 20 tires but that's based on smaller tire dimensions, usually they are quoting 16 or 17-in width tires versus my 19-in. Many of my retired friends feel the same way as it's much easier for us to deal with the screw on Schrader valve than it is the press on lock type hose fitting. If the new model had the screw on type I would have bought that as it would have saved me some money but that's how strongly I feel about having the screw on type air hose. With the reduced amperage on the battery it makes it much lighter and also smaller. I found the case that holds all the fittings in the air hose in a much smaller dimension case that easily fits into my Tucson or RAV 4 glove boxes. It has a bag to hold all the cords and attachments. It has strong air transfer claiming 4X faster air transfer which is the key thing. (Who needs four hours of continuous battery capacity?? At that point I'll pull out my small air compressor and get it all done < half that time)! I attached a photo of the new case versus the old case I procured for a different model that had a 25,000 aMh battery so that was the case that fit for that type of unit The display is bright and pretty intuitive settings on thev AP1001. I have updated my review to five stars for two reasons: I used this on a recent road trip to Oregon and California. I aired up my tires four times and the battery was still charged up enough to NOT be in the red. Also the customer service as mentioned by a few people is very good. I called to register this product for the warranty which is 18 months and they actually upgraded to 2 years which is one of the better warranties out there.
 

 CONS: the new model uses the press on type connector versus the screw on air hose. Plus the new model is the same price as the old model with better performance and an includes a storage case with it. It would also be nice to come with the cigarette lighter extension so you had dual power as many of the other competing models do but not that big of a deal to me.",
,Liam,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",,This item is great. No more trying to find an air hose. Easy to use. Battery life could be better.,
,Christine,5.0 out of 5 stars,"5.0 out of 5 stars
  Fantastic purchase for my car tires!","Reviewed in the United States on May 5, 2025",No,It’s a highly functional gadget that performs its core task well.,30 people found this helpful
,Diane,5.0 out of 5 stars,,,,This is the most reliable portable inflator I have ever owned.,
,Karen D.,5.0 out of 5 stars,"3.0 out of 5 stars
  Good for bikes, not cars","Reviewed in the United States on November 18, 2025",No,"Works great for my bicycle tires and sports balls. Struggles a bit with car tires though - takes longer than expected. If you mainly need it for bikes and small items, it's pretty good.",6 people found this helpful
,Olivia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2019",,I bought it on a friend’s strong recommendation and wasn't disappointed.,
,Joel,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on March 12, 2024",,I love the simple design and the excellent quality feel.,
,Matthew,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2021",,It performs flawlessly on all my yard and utility tires.,
,Anita N,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2018",,Essential for drivers who experience frequent cold weather pressure loss.,
,frozen02,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2018",,This thing is surprisingly robust despite its size.,
,Cynthia,5.0 out of 5 stars,,,,"Review PROS: Focus is on the amount of air being moved versus battery capacity. It added 3 PSI to all 4 of my my P235/55R19 tires for my hybrid Tucson in about 6 - 7 minutes total as the airflow is a fast 35 LPM. It has a nice long air hose that is almost 20 inches and it is the screw type Schrader valve which I've been looking for. I have large hands and I am a Sr. Citizen. By the time I find the Schrader valve on the tire it's buried inside the fancy wheel rims that come with the SUV. So I prefer the screw on type as I lose less air than I do with the clip on type. I am not enamored with the clip on type which is using a plastic lock and I really question how long that will work and not break. This is why I bought this model versus the newer model that actually has 45LPM and it comes with a storage case for the same price as I paid for this model. The manufacturer claims 40 minutes continuous battery use which is more than enough to fill ~ 20 tires but that's based on smaller tire dimensions, usually they are quoting 16 or 17-in width tires versus my 19-in. Many of my retired friends feel the same way as it's much easier for us to deal with the screw on Schrader valve than it is the press on lock type hose fitting. If the new model had the screw on type I would have bought that as it would have saved me some money but that's how strongly I feel about having the screw on type air hose. With the reduced amperage on the battery it makes it much lighter and also smaller. I found the case that holds all the fittings in the air hose in a much smaller dimension case that easily fits into my Tucson or RAV 4 glove boxes. It has a bag to hold all the cords and attachments. It has strong air transfer claiming 4X faster air transfer which is the key thing. (Who needs four hours of continuous battery capacity?? At that point I'll pull out my small air compressor and get it all done < half that time)! I attached a photo of the new case versus the old case I procured for a different model that had a 25,000 aMh battery so that was the case that fit for that type of unit The display is bright and pretty intuitive settings on thev AP1001. I have updated my review to five stars for two reasons: I used this on a recent road trip to Oregon and California. I aired up my tires four times and the battery was still charged up enough to NOT be in the red. Also the customer service as mentioned by a few people is very good. I called to register this product for the warranty which is 18 months and they actually upgraded to 2 years which is one of the better warranties out there. CONS: the new model uses the press on type connector versus the screw on air hose. Plus the new model is the same price as the old model with better performance and an includes a storage case with it. It would also be nice to come with the cigarette lighter extension so you had dual power as many of the other competing models do but not that big of a deal to me.",
,Jim P.,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on March 12, 2023",,No more struggling with awkward clip-on air chucks.,
,Diane,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2023",,"Used it the first day I received it. Works very well. Just be careful with the digital psi read outs; they might be off by 1 or two. I checked my vehicles tires with an analog tire gauge and they were off a bit. The Airmoto, however did fill my vehicles tires fairly quickly. All four of my tires need a decent amount of air. It did not take it too long to fully charge my device out of the box. I also drained it completely and it didn’t take it too long to charge also. The auto shut off worked like it should. Since it did’nt take the Airmoto too long to fill up my tires, it didn’t weigh too much as I was holding it.",
,P Burton,4.0 out of 5 stars,,,,"Life saver! It airs up my tires so fast! The battery life is impressive! I used it 8 times before I had to recharge it so it wasn’t a one and done! It’s super functional as we’ve used it to blow up pool floats, car tires, footballs! It’s an amazing price too! The size is perfect for your glove box without taking up all the room!",
,Liam,4.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on March 12, 2022",,The pressure holds true even after disconnecting the hose.,
,Joel,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on September 11, 2017",,Fantastic addition to my roadside emergency kit.,
,Alexis Urrutia,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on August 28, 2023",,Have used this several times now and it has held its charge for a long time and works wonderfully!,
,Mark W.,5.0 out of 5 stars,"3.0 out of 5 stars
  Works as advertised, mostly","Reviewed in the United States on October 12, 2025",No,"Does what it says it will do, though it's a bit slower than I hoped. The LED light is useful. Wish the hose was longer. It's a solid 3-star product - meets expectations but doesn't exceed them.",9 people found this helpful
,William,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on September 28, 2017",,"Sorry to say that this product that was purchase recently NEVER worked ...it's a defective product although the indicator light shows green and fully charged...I followed the instructions highlighted in the manual...I had an emergency and now I had to get to the nearest Service Station to get my tires inflated ...
 

 Now I am left with a defective product and now have to seek an alternative purchase....
 

 Update on the item(1 week later)
 

 I would like to review my evaluation of the purchase and am happy to note that after much trial and error that the product has proven to work with air pressure coming from the hose. Now, this is a positive indication that the product is not malfunctioning. However, its left to see what happens when plug into the car valve. I think that there is a likelihood that the product would work well. Thank you seller for your patience and understanding.",
,Helen,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2020",,"This thing is super powerful! We have used this three times now to pump up a leak or one instance where we had a screw in our time. Having this pump allowed us to pump the tire up enough to get to the dealership to plug the tire. Cord is plenty long, and following instructions is pretty easy to understand how to use the pump.",
,Zachary,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2017",,"The whole process, from setup to stop, is extremely streamlined.",
,Pamela,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2017",,It’s excellent for keeping my trailer tires at their necessary PSI.,
,Jennifer,5.0 out of 5 stars,"5.0 out of 5 stars
  Great buy","Reviewed in the United States on September 11, 2024",,"Review PROS: Focus is on the amount of air being moved versus battery capacity. It added 3 PSI to all 4 of my my P235/55R19 tires for my hybrid Tucson in about 6 - 7 minutes total as the airflow is a fast 35 LPM. It has a nice long air hose that is almost 20 inches and it is the screw type Schrader valve which I've been looking for. I have large hands and I am a Sr. Citizen. By the time I find the Schrader valve on the tire it's buried inside the fancy wheel rims that come with the SUV. So I prefer the screw on type as I lose less air than I do with the clip on type. I am not enamored with the clip on type which is using a plastic lock and I really question how long that will work and not break. This is why I bought this model versus the newer model that actually has 45LPM and it comes with a storage case for the same price as I paid for this model. The manufacturer claims 40 minutes continuous battery use which is more than enough to fill ~ 20 tires but that's based on smaller tire dimensions, usually they are quoting 16 or 17-in width tires versus my 19-in. Many of my retired friends feel the same way as it's much easier for us to deal with the screw on Schrader valve than it is the press on lock type hose fitting. If the new model had the screw on type I would have bought that as it would have saved me some money but that's how strongly I feel about having the screw on type air hose. With the reduced amperage on the battery it makes it much lighter and also smaller. I found the case that holds all the fittings in the air hose in a much smaller dimension case that easily fits into my Tucson or RAV 4 glove boxes. It has a bag to hold all the cords and attachments. It has strong air transfer claiming 4X faster air transfer which is the key thing. (Who needs four hours of continuous battery capacity?? At that point I'll pull out my small air compressor and get it all done < half that time)! I attached a photo of the new case versus the old case I procured for a different model that had a 25,000 aMh battery so that was the case that fit for that type of unit The display is bright and pretty intuitive settings on thev AP1001. I have updated my review to five stars for two reasons: I used this on a recent road trip to Oregon and California. I aired up my tires four times and the battery was still charged up enough to NOT be in the red. Also the customer service as mentioned by a few people is very good. I called to register this product for the warranty which is 18 months and they actually upgraded to 2 years which is one of the better warranties out there. CONS: the new model uses the press on type connector versus the screw on air hose. Plus the new model is the same price as the old model with better performance and an includes a storage case with it. It would also be nice to come with the cigarette lighter extension so you had dual power as many of the other competing models do but not that big of a deal to me.",
,Jessica,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2020",,This has completely simplified my vehicle maintenance routine.,
,Karen,5.0 out of 5 stars,,,,This cute little machine is a wonderful idea but if you have a puncture instead of a regular flat you’ll have to get the spare tire out. You will know either way with this little machine. I wish that I got the one that is a 2n1 machine that also gives you a jump start. Now I’ll have to give this little cutie as a gift but to who 🤔,
,Oliver,5.0 out of 5 stars,"5.0 out of 5 stars
  All it promises","Reviewed in the United States on May 5, 2025",No,"This is the 2nd one I bought. You lose 5lbs of air when the temp goes from 60' to 20'.
 I use it to refill the tires. Great product.",30 people found this helpful
,Gary,5.0 out of 5 stars,,,,Great purchase . Compressor works surprisingly quickly . Battery life is outstanding- I've used it multiple times both on auto and motorcycle tires and it shows almost no drain . However dash is hard to read in direct sunlight. Otherwise highly recommend.,
,Henry,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2017",,"This small compressor is very impressive. It inflated 2 completely flat 235/45-17"" tires and still had 3/4+ battery capacity. I think it can inflate a few completely flat, larger truck tires on a single charge. Easy to use, with connections at either end bring precise (no air leakage).",
,Tyler,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 28, 2024",,"The airmoto tire inflator was true as advertised. I was sceptical that it would work on car tires, but after a cold snap all 4 of my tires were a bit low in pressure. The tire inflator was able to add air to all four tires on a single charge. This significantly reduces my anxiety going forward if the low pressure like ever comes on, on my vehicle dashboard.",
,PJS,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 28, 2024",,"Pros: - Portable - Easy to Use - Comes with charging cable Cons: - Noisy (though I do not have another brand to compare it to, maybe they are all this noisy) - Battery went from green to yellow very fast (after 2 tires). I haven't tried using it for 2 cars at a time to see if it has enough battery for 8 tires. One car it has enough, and then I charge it up again after. So far it has enough battery for what I need out of it. I am pleased that I do not have to worry about going to a gas station to put in air in my tires now. A lot of stations charge or if they turn it on for free for you it doesn't last long and you keep having to go to them to turn it back on. My 2013 Kia Optima tends to lose air pressure easily when the weather is cold so this has given me a peace of mind knowing I have this in case. Also worked great for my sister's new 2024 Kia Sportage. I think it was worth the money spent.",
,Deborah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2022",,It works well and is not overly loud during operation.,
,jimmy,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2017",,"I just tested, on a 2025 kicks, it was 7 psi low then on a 2015 chevrolet express cargo extended 2500 was low on the 4 tires, the 2 front ones 13 psi on each it fill them up under 5 minutes, then the battery died.",
,Julie,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 11, 2024",,"I've had it for a year now, and I've used about 5 times. It has worked great in cars and my motorcycles, it fits anywhere. Get one of these, stick it in your glove box, you never know when you will need it. Works better that my big name big battery jump starter air hose.",
,Germán Rodríguez,1.0 out of 5 stars,"1.0 out of 5 stars
  Waste of money","Reviewed in the United States on September 11, 2024",,Stopped working after two weeks. The motor makes a weird grinding noise and doesn't inflate properly anymore. Very disappointed.,
,M. Cranford,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2020",,This tire inflator is worth its weight in gold.,
,Sarah,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2021",,I am very happy with the quality and overall value.,
,Pam P,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on August 28, 2022",,It inflated a completely flat tire enough to drive to the repair shop.,
,Dawn,5.0 out of 5 stars,"5.0 out of 5 stars
  Travel comfort","Reviewed in the United States on August 28, 2025",No,It's a must-have for people who dread tire inflation.,3 people found this helpful
,Karen,3.0 out of 5 stars,"3.0 out of 5 stars
  Works but has issues","Reviewed in the United States on February 20, 2021",,The inflator works but the hose is a bit short and it gets warm quickly. The digital display is nice. It's good enough for occasional use.,
,Michelle M Montrose,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2022",,"It’s a clean, efficient, and modern inflation solution.",
,Kenneth,5.0 out of 5 stars,,,,I successfully topped off all four SUV tires on a single charge.,
,Barbara,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on February 20, 2023",,"This inflator works great! It allows me to fill my tires to the exact pressure that I desire and then stops. With my air compressor at home, it’s a guess as to whether or not I have the correct pressure. This is a great device to keep in your car! This is a great value for the money.",
,Ronald,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on March 12, 2020",,I used it on my ATV tires and it worked like a champion.,
,Brenda,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 28, 2023",,Everyone needs one of these! I can’t tell you how impressed I am with this device. I just inflated four tires in no time on my gorilla wheel barrel.,
,Christina,5.0 out of 5 stars,"5.0 out of 5 stars
  Everyone should have one","Reviewed in the United States on May 5, 2025",No,I bought one and quickly purchased another for my second car.,30 people found this helpful
,David P.,5.0 out of 5 stars,"1.0 out of 5 stars
  Never received proper product","Reviewed in the United States on September 28, 2025",Yes,Received a unit that looks nothing like the pictures. Missing accessories and the build quality is terrible. Tried to return but customer service never responded. Total scam.,22 people found this helpful
,Pamela,2.0 out of 5 stars,"2.0 out of 5 stars
  Below average","Reviewed in the United States on September 11, 2022",,"Used it once and it worked, but it took 10 minutes to add 5 PSI to one tire. My old pump was faster. The LED light is nice though.",
,Elizabeth,5.0 out of 5 stars,"5.0 out of 5 stars
  Filled 4 tires on 1 charge","Reviewed in the United States on September 11, 2023",,Works as advertised. Delivered on time.,
,Joyce,4.0 out of 5 stars,"4.0 out of 5 stars
  Gives me peace of mind","Reviewed in the United States on August 28, 2025",No,Ease of use … small enough for glove box or center console …,3 people found this helpful
,Eric,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2020",,The digital interface is intuitive and a pleasure to use.,
,Abbie Parsons,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2017",,It's a must-have for people who dread tire inflation.,
,Kelly,5.0 out of 5 stars,,,,"Works great! My pancake compressor died, and this little unit was a great replacement. Especially like setting the intended pressure and letting it work by itself and shut off by itself.",
,Olivia,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2019",,I bought one for myself and immediately purchased another for my wife.,
,Noelle Weathersby,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2017",,Living in the boonies you have to carry something like this with you! It's small enough to fit in glove box and gives me peace of mind knowing I've got tire emergencies handled on my own.,
,Paul,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2022",,"Pros: - Portable - Easy to Use - Comes with charging cable Cons: - Noisy (though I do not have another brand to compare it to, maybe they are all this noisy) - Battery went from green to yellow very fast (after 2 tires). I haven't tried using it for 2 cars at a time to see if it has enough battery for 8 tires. One car it has enough, and then I charge it up again after. So far it has enough battery for what I need out of it. I am pleased that I do not have to worry about going to a gas station to put in air in my tires now. A lot of stations charge or if they turn it on for free for you it doesn't last long and you keep having to go to them to turn it back on. My 2013 Kia Optima tends to lose air pressure easily when the weather is cold so this has given me a peace of mind knowing I have this in case. Also worked great for my sister's new 2024 Kia Sportage. I think it was worth the money spent.",
,Amanda,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on August 28, 2017",,"I have been looking for another air inflator to take along with me when I go riding or side by siding, so I looked in to getting this one. The functionality of this air compressor is amazing! The size, speed of inflating tires, and heat level is great. I have no complaints! I love the compact size so you can literally carry it in your backpack, the luggage dept on motorcycles, or in the trunk of your vehicles. The design is very sleek and all the components are very nice as well. Using this in rainy weather has not deterred it either, it is very durable in all types of weather.",
,Steven,5.0 out of 5 stars,,,,"Worked well on 2 tires with very low air, was able to drive to tire shop afterwards where I had to replace two of my tires otherwise would've had to get AAA, Change my tires myself or a tow.",
,Nathan,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2017",,It's fantastic for quickly inflating sports balls before games.,
,Brian Grady,4.0 out of 5 stars, 4.0 out of 5 stars,"Reviewed in the United States on February 20, 2021",,"The charge time is fast, making it ready whenever I need it.",
,ERCW,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 11, 2021",,It’s compact enough to take on my camping trips easily.,
,Robert,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2020",,The simple operation makes it accessible to anyone.,
,HairHacker,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on September 28, 2022",,It’s so easy my teenager can use it confidently.,
,PJS,5.0 out of 5 stars,5.0 out of 5 stars,"Reviewed in the United States on September 11, 2022",,"This little compressor has saved my whole family from going to a tire store or gas station. We live in Michigan where rapid temperature changes can cause tires to lose some pressure and activate the low tire indicator. When this occured, we just used the inflator. We were impressed with how fast it worked considering it's size. I bought 2 more to give as gifts for my grandkids.",
,trumpet guy,5.0 out of 5 stars,"5.0 out of 5 stars
  AirMoto is great, delivery was not.","Reviewed in the United States on March 12, 2025",No,It quickly resolved the low-pressure alarm on my onboard monitor.,5 people found this helpful
,David,5.0 out of 5 stars,,,,"Update after using for a trip: first use was great. 2nd use was still good but after that it loses battery faster. Not giving up on it.
 

 This worked great right out of the box. My SUV has a tire that has a very slow leak, like only needs airing up every 3 months slow. But I hate seeing that low tire signal on my dash and hate having to find a gas station when I’m traveling because not all have air pumps.
 

 This was louder than I expected but not bad. It was clearly labeled as to what parts would get hot. I tested the tire before hooking it up and set the machine to stop a few psi before that so I could be sure. And it measured current psi correctly, as well as stopped when it reached the set limit.
 

 I checked with a manual tire gauge after and it was perfect!
 

 Only did one tire so I’ll report back if there are issues with future use or battery failure.",
,Lisa,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on May 5, 2020",,The clear display helps a lot when checking tires in the shade.,
,Shirley,4.0 out of 5 stars,Perfect just in time,"Reviewed in the United States on March 12, 2022",,"Actually works really well. I put air in all 4 car tires in about 15 minutes. It did use a full battery charge to do all 4, and if the tires were more flat I would have had to charge in between. Very worth it to not have to stop at the gas station for air now.",
,Debra,5.0 out of 5 stars, 5.0 out of 5 stars,"Reviewed in the United States on February 20, 2017",,I no longer rely on sketchy equipment I find while traveling.,
